TableName,ColumnName,ColumnType,DataType
BehaviorEntities,Timestamp,datetime,System.DateTime
BehaviorEntities,BehaviorId,string,System.String
BehaviorEntities,ActionType,string,System.String
BehaviorEntities,Categories,string,System.String
BehaviorEntities,ServiceSource,string,System.String
BehaviorEntities,DetectionSource,string,System.String
BehaviorEntities,DataSources,string,System.String
BehaviorEntities,EntityType,string,System.String
BehaviorEntities,EntityRole,string,System.String
BehaviorEntities,DetailedEntityRole,string,System.String
BehaviorEntities,FileName,string,System.String
BehaviorEntities,FolderPath,string,System.String
BehaviorEntities,SHA1,string,System.String
BehaviorEntities,SHA256,string,System.String
BehaviorEntities,FileSize,long,System.Int64
BehaviorEntities,ThreatFamily,string,System.String
BehaviorEntities,RemoteIP,string,System.String
BehaviorEntities,RemoteUrl,string,System.String
BehaviorEntities,AccountName,string,System.String
BehaviorEntities,AccountDomain,string,System.String
BehaviorEntities,AccountSid,string,System.String
BehaviorEntities,AccountObjectId,string,System.String
BehaviorEntities,AccountUpn,string,System.String
BehaviorEntities,DeviceId,string,System.String
BehaviorEntities,DeviceName,string,System.String
BehaviorEntities,LocalIP,string,System.String
BehaviorEntities,NetworkMessageId,string,System.String
BehaviorEntities,EmailSubject,string,System.String
BehaviorEntities,EmailClusterId,string,System.String
BehaviorEntities,Application,string,System.String
BehaviorEntities,ApplicationId,int,System.Int32
BehaviorEntities,OAuthApplicationId,string,System.String
BehaviorEntities,ProcessCommandLine,string,System.String
BehaviorEntities,RegistryKey,string,System.String
BehaviorEntities,RegistryValueName,string,System.String
BehaviorEntities,RegistryValueData,string,System.String
BehaviorEntities,AdditionalFields,string,System.String
