TableName,ColumnName,ColumnType,DataType
DeviceTvmSecureConfigurationAssessment,DeviceId,string,System.String
DeviceTvmSecureConfigurationAssessment,DeviceName,string,System.String
DeviceTvmSecureConfigurationAssessment,OSPlatform,string,System.String
DeviceTvmSecureConfigurationAssessment,Timestamp,datetime,System.DateTime
DeviceTvmSecureConfigurationAssessment,ConfigurationId,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationCategory,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationSubcategory,string,System.String
DeviceTvmSecureConfigurationAssessment,ConfigurationImpact,real,System.Double
DeviceTvmSecureConfigurationAssessment,IsCompliant,bool,System.SByte
DeviceTvmSecureConfigurationAssessment,IsApplicable,bool,System.SByte
DeviceTvmSecureConfigurationAssessment,Context,dynamic,System.Object
DeviceTvmSecureConfigurationAssessment,IsExpectedUserImpact,bool,System.SByte
