TableName,ColumnName,ColumnType,DataType
CloudAppEvents,Timestamp,datetime,System.DateTime
CloudAppEvents,ActionType,string,System.String
CloudAppEvents,Application,string,System.String
CloudAppEvents,ApplicationId,int,System.Int32
CloudAppEvents,AppInstanceId,int,System.Int32
CloudAppEvents,AccountObjectId,string,System.String
CloudAppEvents,AccountId,string,System.String
CloudAppEvents,AccountDisplayName,string,System.String
CloudAppEvents,IsAdminOperation,bool,System.SByte
CloudAppEvents,DeviceType,string,System.String
CloudAppEvents,OSPlatform,string,System.String
CloudAppEvents,IPAddress,string,System.String
CloudAppEvents,IsAnonymousProxy,bool,System.SByte
CloudAppEvents,CountryCode,string,System.String
CloudAppEvents,City,string,System.String
CloudAppEvents,ISP,string,System.String
CloudAppEvents,UserAgent,string,System.String
CloudAppEvents,ActivityType,string,System.String
CloudAppEvents,ActivityObjects,dynamic,System.Object
CloudAppEvents,ObjectName,string,System.String
CloudAppEvents,ObjectType,string,System.String
CloudAppEvents,ObjectId,string,System.String
CloudAppEvents,ReportId,string,System.String
CloudAppEvents,AccountType,string,System.String
CloudAppEvents,IsExternalUser,bool,System.SByte
CloudAppEvents,IsImpersonated,bool,System.SByte
CloudAppEvents,IPTags,dynamic,System.Object
CloudAppEvents,IPCategory,string,System.String
CloudAppEvents,UserAgentTags,dynamic,System.Object
CloudAppEvents,RawEventData,dynamic,System.Object
CloudAppEvents,AdditionalFields,dynamic,System.Object
CloudAppEvents,SessionData,dynamic,System.Object
CloudAppEvents,AuditSource,string,System.String
CloudAppEvents,OAuthAppId,string,System.String
CloudAppEvents,UncommonForUser,dynamic,System.Object
CloudAppEvents,LastSeenForUser,dynamic,System.Object
