TableName,ColumnName,ColumnType,DataType
CloudProcessEvents,Timestamp,datetime,System.DateTime
CloudProcessEvents,AzureResourceId,string,System.String
CloudProcessEvents,AwsResourceName,string,System.String
CloudProcessEvents,GcpFullResourceName,string,System.String
CloudProcessEvents,ContainerImageName,string,System.String
CloudProcessEvents,KubernetesNamespace,string,System.String
CloudProcessEvents,KubernetesPodName,string,System.String
CloudProcessEvents,KubernetesResource,string,System.String
CloudProcessEvents,ContainerName,string,System.String
CloudProcessEvents,ContainerId,string,System.String
CloudProcessEvents,ActionType,string,System.String
CloudProcessEvents,FileName,string,System.String
CloudProcessEvents,FolderPath,string,System.String
CloudProcessEvents,ProcessId,long,System.Int64
CloudProcessEvents,ProcessName,string,System.String
CloudProcessEvents,ParentProcessName,string,System.String
CloudProcessEvents,ParentProcessId,long,System.Int64
CloudProcessEvents,ProcessCommandLine,string,System.String
CloudProcessEvents,ProcessCreationTime,datetime,System.DateTime
CloudProcessEvents,ProcessCurrentWorkingDirectory,string,System.String
CloudProcessEvents,AccountName,string,System.String
CloudProcessEvents,LogonId,long,System.Int64
CloudProcessEvents,InitiatingProcessId,long,System.Int64
CloudProcessEvents,AdditionalFields,dynamic,System.Object
CloudProcessEvents,ReportId,string,System.String
