TableName,ColumnName,ColumnType,DataType
AADSpnSignInEventsBeta,Timestamp,datetime,System.DateTime
AADSpnSignInEventsBeta,Application,string,System.String
AADSpnSignInEventsBeta,ApplicationId,string,System.String
AADSpnSignInEventsBeta,IsManagedIdentity,bool,System.SByte
AADSpnSignInEventsBeta,ErrorCode,int,System.Int32
AADSpnSignInEventsBeta,CorrelationId,string,System.String
AADSpnSignInEventsBeta,ServicePrincipalName,string,System.String
AADSpnSignInEventsBeta,ServicePrincipalId,string,System.String
AADSpnSignInEventsBeta,ResourceDisplayName,string,System.String
AADSpnSignInEventsBeta,ResourceId,string,System.String
AADSpnSignInEventsBeta,ResourceTenantId,string,System.String
AADSpnSignInEventsBeta,IPAddress,string,System.String
AADSpnSignInEventsBeta,Country,string,System.String
AADSpnSignInEventsBeta,State,string,System.String
AADSpnSignInEventsBeta,City,string,System.String
AADSpnSignInEventsBeta,Latitude,string,System.String
AADSpnSignInEventsBeta,Longitude,string,System.String
AADSpnSignInEventsBeta,RequestId,string,System.String
AADSpnSignInEventsBeta,ReportId,string,System.String
AADSpnSignInEventsBeta,IsConfidentialClient,bool,System.SByte
