TableName,ColumnName,ColumnType,DataType
CloudStorageAggregatedEvents,DataAggregationStartTime,datetime,System.DateTime
CloudStorageAggregatedEvents,DataAggregationEndTime,datetime,System.DateTime
CloudStorageAggregatedEvents,DataSource,string,System.String
CloudStorageAggregatedEvents,SubscriptionId,string,System.String
CloudStorageAggregatedEvents,ResourceGroup,string,System.String
CloudStorageAggregatedEvents,StorageAccount,string,System.String
CloudStorageAggregatedEvents,StorageContainer,string,System.String
CloudStorageAggregatedEvents,StorageFileShare,string,System.String
CloudStorageAggregatedEvents,ServiceType,string,System.String
CloudStorageAggregatedEvents,IPAddress,string,System.String
CloudStorageAggregatedEvents,UserAgentHeader,string,System.String
CloudStorageAggregatedEvents,OperationNamesList,dynamic,System.Object
CloudStorageAggregatedEvents,AuthenticationType,string,System.String
CloudStorageAggregatedEvents,AccountObjectId,string,System.String
CloudStorageAggregatedEvents,AccountTenantId,string,System.String
CloudStorageAggregatedEvents,AccountApplicationId,string,System.String
CloudStorageAggregatedEvents,AccountUpn,string,System.String
CloudStorageAggregatedEvents,AccountType,string,System.String
CloudStorageAggregatedEvents,OperationsCount,long,System.Int64
CloudStorageAggregatedEvents,SuccessfulOperationsCount,long,System.Int64
CloudStorageAggregatedEvents,FailedOperationsCount,long,System.Int64
CloudStorageAggregatedEvents,TotalResponseLength,long,System.Int64
CloudStorageAggregatedEvents,SuccessfulReadOperations,long,System.Int64
CloudStorageAggregatedEvents,DistinctGetOperations,long,System.Int64
CloudStorageAggregatedEvents,AnonymousSuccessfulOperations,long,System.Int64
CloudStorageAggregatedEvents,HasAnonymousResourceNotFoundFailures,bool,System.SByte
CloudStorageAggregatedEvents,Md5Hashes,dynamic,System.Object
CloudStorageAggregatedEvents,AzureResourceId,string,System.String
CloudStorageAggregatedEvents,Location,string,System.String
CloudStorageAggregatedEvents,Timestamp,datetime,System.DateTime
CloudStorageAggregatedEvents,ReportId,string,System.String
CloudStorageAggregatedEvents,ActionType,string,System.String
CloudStorageAggregatedEvents,AdditionalFields,dynamic,System.Object
